iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2030_target
AUS,Australia,coal_capacity_gw,26.73,27.52,27.32,29.84,30.03,29.01,28.81,28.89,29.29,29.73,29.68,29.9,29.9,28.91,28.97,28.07,26.98,25.15,24.95,24.95,24.99,24.99,24.59,24.44,24.31,24.907,24.706,24.505,24.304,24.104,23.903,7.1
AUS,Australia,gas_capacity_gw,5.5,5.85,8.3,8.54,8.75,8.38,8.95,11.23,11.71,13.8,15.86,16.37,16.95,17.27,17.8,22.57,22.5,22.13,22.85,22.72,24.06,24.33,25.01,24.76,26.28,28.515,29.439,30.363,31.288,32.212,33.136,11.2
AUS,Australia,hydro_share_elec,7.676,7.273,7.302,7.288,6.952,6.816,6.384,5.456,4.932,5.195,5.613,7.785,6.942,7.833,5.992,5.688,6.99,5.326,6.722,5.376,5.541,6.077,6.229,5.641,4.669,4.899,4.766,4.641,4.523,4.41,4.303,6.2
AUS,Australia,solar_share_elec,0.023,0.023,0.027,0.027,0.031,0.035,0.043,0.046,0.058,0.119,0.4,0.812,0.982,1.58,2.048,2.503,2.95,3.519,4.788,7.017,9.16,11.891,14.035,16.828,18.244,18.632,20.182,21.651,23.045,24.369,25.628,31.4
AUS,Australia,wind_share_elec,0.061,0.131,0.241,0.315,0.354,0.573,0.922,1.192,1.444,1.825,2.037,2.558,3.145,3.8,4.047,4.776,5.17,5.212,6.314,7.465,8.687,10.217,11.235,11.921,11.896,12.207,12.805,13.372,13.911,14.422,14.908,43.5
AUS,Australia,coal_share_elec,84.014,81.159,77.991,78.055,79.291,80.622,79.32,77.552,76.872,74.813,71.854,68.417,67.376,63.787,64.238,65.48,64.375,62.801,60.798,57.452,54.918,52.383,48.308,46.983,46.265,43.496,41.586,39.776,38.058,36.426,34.874,16.6
AUS,Australia,gas_share_elec,7.811,11.054,13.864,13.555,12.122,10.249,11.653,13.964,15.15,16.901,19.1,19.406,20.293,21.633,22.206,20.068,19.075,21.736,19.984,21.36,20.383,18.159,19.0,17.457,17.84,19.503,19.409,19.321,19.238,19.158,19.082,2.2
AUS,Australia,hydro_electricity,16.47,16.12,16.09,16.21,15.69,15.47,14.95,13.05,11.82,12.64,13.75,19.57,17.04,19.09,14.48,14.09,17.63,13.5,17.31,14.02,14.42,15.94,16.66,15.08,12.85,14.99,14.99,14.99,14.99,14.99,14.99,15.3
AUS,Australia,solar_electricity,0.05,0.05,0.06,0.06,0.07,0.08,0.1,0.11,0.14,0.29,0.98,2.04,2.41,3.85,4.95,6.2,7.44,8.92,12.33,18.3,23.84,31.19,37.54,44.99,50.21,57.017,63.471,69.926,76.38,82.834,89.289,77.0
AUS,Australia,wind_electricity,0.13,0.29,0.53,0.7,0.8,1.3,2.16,2.85,3.46,4.44,4.99,6.43,7.72,9.26,9.78,11.83,13.04,13.21,16.26,19.47,22.61,26.8,30.05,31.87,32.74,37.354,40.271,43.189,46.106,49.023,51.94,106.5
