iso_code,country,year,population,biofuel_share_energy,coal_share_energy,electricity_share_energy,fossil_share_energy,gas_share_energy,hydro_share_energy,low_carbon_share_energy,nuclear_share_energy,oil_share_energy,other_renewables_share_energy,renewables_share_energy,solar_share_energy,wind_share_energy,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,primary_energy_consumption,renewables_consumption,solar_consumption,wind_consumption,energy_per_capita,fossil_energy_per_capita,gas_energy_per_capita,hydro_energy_per_capita,low_carbon_energy_per_capita,nuclear_energy_per_capita,oil_energy_per_capita,other_renewables_energy_per_capita,renewables_energy_per_capita,solar_energy_per_capita,wind_energy_per_capita,biofuel_elec_per_capita,coal_elec_per_capita,fossil_elec_per_capita,gas_elec_per_capita,hydro_elec_per_capita,low_carbon_elec_per_capita,nuclear_elec_per_capita,oil_elec_per_capita,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,renewables_elec_per_capita,solar_elec_per_capita,wind_elec_per_capita,biofuel_cons_change_pct,coal_cons_change_pct,energy_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,hydro_cons_change_pct,low_carbon_cons_change_pct,nuclear_cons_change_pct,oil_cons_change_pct,other_renewables_cons_change_pct,renewables_cons_change_pct,solar_cons_change_pct,wind_cons_change_pct,renewables_cons_change_twh,biofuel_share_elec,coal_share_elec,fossil_share_elec,gas_share_elec,hydro_share_elec,low_carbon_share_elec,nuclear_share_elec,oil_share_elec,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,renewables_share_elec,solar_share_elec,wind_share_elec,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,gdp,energy_per_gdp,carbon_intensity_elec,greenhouse_gas_emissions
FIN,Finland,1992,5042145.0,0.0,17.117151260375977,22.72868156433105,65.91543579101562,8.476604461669922,12.89276123046875,34.084564208984375,16.437053680419922,40.32167816162109,4.752535820007324,17.647510528564453,0.0005069371545687,0.0017068592133,0.0,55.7136116027832,214.54428100585932,27.59000015258789,41.9638900756836,110.9398422241211,53.5,131.24066162109375,15.468749046325684,329.6751403808594,57.43984603881836,0.0016499998746439,0.0055555556900799,65383.90625,42550.19921875,5471.87744140625,8322.626953125,22002.509765625,10610.5634765625,26028.736328125,3067.890625,11391.9462890625,0.3272416591644287,1.101823806762695,981.7249755859376,1519.1947021484375,3645.27392578125,1027.3404541015625,2996.740478515625,7798.2685546875,3819.802978515625,1098.73876953125,981.7249755859376,0.0,3978.46533203125,0.0,0.0,,-8.982036590576172,-0.3273583650588989,-2.6623342037200928,3.8389177322387695,14.472992897033691,4.275208473205566,-1.286450982093811,-1.0480681657791138,-0.9802013039588928,10.23863124847412,14.230765342712402,,5.158196449279785,8.578855514526367,13.27556324005127,31.85441780090332,8.977469444274902,26.18717384338379,68.14557647705078,33.37955093383789,9.601386070251465,8.578855514526367,0.0,34.76602935791016,0.0,0.0,4.949999809265137,7.659999847412109,18.3799991607666,5.179999828338623,15.109999656677246,39.31999969482422,19.26000022888184,5.539999961853027,4.949999809265137,0.0,20.059999465942383,0.0,0.0,122116750127.0,2.699671745300293,244.7100067138672,
FIN,Finland,1993,5066594.0,0.0,19.38754844665528,23.809389114379883,66.08242797851562,8.678735733032227,11.395089149475098,33.91757583618164,16.85079574584961,38.01613998413086,5.667738437652588,17.0667781829834,0.0005682324408553,0.0033823361154645,0.0,63.68888854980469,217.0834503173828,28.51000022888184,37.43333053588867,111.42061614990234,55.35555267333984,124.8845672607422,18.618751525878903,332.51080322265625,56.065059661865234,0.0018666666001081,0.0111111113801598,65628.0703125,42846.03515625,5627.05419921875,7388.26318359375,21991.2265625,10925.5947265625,24648.623046875,3674.806396484375,11065.630859375,0.3684263229370117,2.193013906478882,1176.3326416015625,1942.1331787109373,4280.982421875,1095.4105224609375,2660.564453125,7770.505859375,3933.609130859375,1243.43896484375,1176.3326416015625,0.0,3836.897216796875,0.0,0.0,,14.314772605895996,0.8601385354995728,1.1835238933563232,3.3345417976379395,-10.7963228225708,0.1197294220328331,3.4683241844177246,-4.843083381652832,20.363645553588867,-3.095387458801269,13.131315231323242,100.0,-1.3747848272323608,9.76089096069336,16.11529541015625,35.522438049316406,9.089420318603516,22.076644897460938,64.4775619506836,32.6400260925293,10.317720413208008,9.76089096069336,0.0,31.83753776550293,0.0,0.0,5.960000038146973,9.84000015258789,21.690000534057617,5.550000190734863,13.479999542236328,39.369998931884766,19.93000030517578,6.300000190734863,5.960000038146973,0.0,19.440000534057617,0.0,0.0,121309307835.0,2.741016387939453,278.4200134277344,
FIN,Finland,1994,5088454.0,0.0,22.45911026000977,23.76740455627441,69.0346908569336,9.1132173538208,9.481471061706545,30.96530532836914,15.627092361450195,37.46236801147461,5.8505072593688965,15.338212966918944,0.0006041049491614,0.0056308056227862,0.0,77.55638885498047,238.39242553710932,31.470001220703125,32.74166488647461,106.93020629882812,53.96388626098633,129.36602783203125,20.203125,349.0313415527344,52.9663200378418,0.0020861111115664,0.0194444451481103,68592.8046875,46849.67578125,6184.58984375,6434.50146484375,21014.28125,10605.1630859375,25423.4453125,3970.3857421875,10409.1181640625,0.4099695384502411,3.8212873935699454,1271.5059814453125,2747.396240234375,5486.931640625,1263.64501953125,2317.01025390625,7408.93017578125,3818.44873046875,1475.890380859375,1271.5059814453125,0.0,3590.481689453125,0.0,1.9652334451675413,,21.773815155029297,4.968421459197998,9.816022872924805,10.382325172424316,-12.53339385986328,-4.267367839813232,-2.514047861099243,3.58848237991333,8.509566307067871,-6.064823627471924,11.755955696105955,75.0,-3.0987393856048584,9.859798431396484,21.304479598999023,42.54800033569336,9.79884147644043,17.967082977294922,57.451995849609375,29.6098747253418,11.44468116760254,9.859798431396484,0.0,27.84212112426757,0.0,0.01523925550282,6.46999979019165,13.979999542236328,27.920000076293945,6.429999828338623,11.789999961853027,37.70000076293945,19.43000030517578,7.510000228881836,6.46999979019165,0.0,18.270000457763672,0.0,0.0099999997764825,126178680040.0,2.766167402267456,336.3299865722656,
FIN,Finland,1995,5107919.0,0.0,20.86341667175293,24.841272354125977,66.5591049194336,9.9382905960083,10.918367385864258,33.44089889526367,16.232675552368164,35.75739288330078,6.279856204986572,17.208223342895508,0.0007070540450513,0.0092922272160649,0.0,68.6050033569336,218.86575317382807,32.68000030517578,35.90277862548828,109.96343231201172,53.37777328491211,117.58074951171876,20.64999961853028,332.7396240234375,56.58565902709961,0.0023250000085681,0.0305555537343025,65141.9140625,42848.3203125,6397.90869140625,7028.8466796875,21528.029296875,10450.00390625,23019.306640625,4042.7421875,11078.025390625,0.4551755785942077,5.981996536254883,1294.069091796875,2167.22314453125,4939.38916015625,1297.984619140625,2531.363525390625,7590.17529296875,3762.78466796875,1474.181640625,1294.069091796875,0.0,3827.39013671875,0.0,1.9577443599700928,,-11.541776657104492,-4.667694568634033,-8.190975189208984,3.844928741455078,9.654708862304688,2.8500351905822754,-1.086119532585144,-9.110025405883787,2.211904764175415,7.037807464599609,11.45139980316162,57.142852783203125,3.619338274002075,10.328125,17.296875,39.421875,10.359375,20.203125,60.578125,30.031248092651367,11.765625,10.328125,0.0,30.546873092651367,0.0,0.015625,6.610000133514404,11.06999969482422,25.229999542236328,6.630000114440918,12.93000030517578,38.77000045776367,19.21999931335449,7.53000020980835,6.610000133514404,0.0,19.549999237060547,0.0,0.0099999997764825,131586003036.0,2.528685569763184,303.75,
FIN,Finland,1996,5124715.0,0.0,23.77802467346192,25.153226852416992,69.31840515136719,9.944806098937988,9.58266830444336,30.68159294128418,15.736260414123535,35.595577239990234,5.352982997894287,14.945332527160645,0.0007934384630061,0.0088878031820058,0.0,81.74694061279297,238.3111267089844,34.18944549560547,32.94444274902344,105.48085021972656,54.09999847412109,122.3747329711914,18.403125762939453,347.4787902832031,51.38085174560547,0.0027277776971459,0.0305555537343025,67804.5078125,46502.31640625,6671.482421875,6428.54150390625,20582.7734375,10556.6845703125,23879.32421875,3591.053466796875,10026.08984375,0.5322788953781128,5.962390899658203,1149.3321533203125,2950.407958984375,6257.90869140625,1660.5802001953125,2314.27490234375,7266.74609375,3801.18701171875,1646.9207763671875,1149.3321533203125,0.0,3465.55859375,0.0,1.9513280391693115,,19.155946731567383,4.42963981628418,8.88460922241211,4.618865489959717,-8.239849090576172,-3.931430101394653,1.353040337562561,4.077183723449707,-10.880748748779297,-9.12699031829834,17.323774337768555,0.0,-5.204806804656982,8.498052597045898,21.815034866333008,46.27038192749024,12.27817153930664,17.111528396606445,53.7296257019043,28.105613708496094,12.17717456817627,8.498052597045898,0.0,25.62401008605957,0.0,0.0144279329106211,5.889999866485596,15.119999885559082,32.06999969482422,8.510000228881836,11.859999656677246,37.2400016784668,19.479999542236328,8.4399995803833,5.889999866485596,0.0,17.760000228881836,0.0,0.0099999997764825,136506127418.0,2.545517921447754,350.739990234375,
FIN,Finland,1997,5139927.0,0.0,22.223567962646484,25.343727111816406,66.48889923095703,9.654947280883787,9.760347366333008,33.5110969543457,16.658445358276367,34.61038589477539,7.077786922454834,16.852651596069336,0.0009631188004277,0.013553824275732,0.0,77.42805480957031,231.6507568359375,33.63833236694336,34.00555419921875,116.75438690185548,58.03888320922852,120.5843734741211,24.659374237060547,352.3807983398437,58.71550750732422,0.0033555554691702,0.0472222231328487,68557.546875,45068.8828125,6544.515625,6615.96044921875,22715.18359375,11291.771484375,23460.328125,4797.61181640625,11423.412109375,0.6528410911560059,9.187333106994627,1535.041259765625,2498.090087890625,5461.1669921875,1338.5404052734375,2381.356689453125,7984.54931640625,4064.260009765625,1624.5367431640625,1535.041259765625,0.0,3920.2890625,0.0,3.8911056518554688,,-5.283238410949707,1.410735845565796,-2.794816493988037,-1.6119393110275269,3.2209105491638184,10.22699737548828,7.280752182006836,-1.463014006614685,33.995582580566406,13.457735061645508,23.014253616333008,54.54546356201172,7.334654331207275,11.416582107543944,18.579076766967773,40.61640930175781,9.955143928527832,17.710895538330078,59.38359069824219,30.2271728515625,12.082188606262209,11.416582107543944,0.0,29.15641593933105,0.0,0.0289393719285726,7.889999866485596,12.84000015258789,28.06999969482422,6.880000114440918,12.239999771118164,41.040000915527344,20.88999938964844,8.350000381469727,7.889999866485596,0.0,20.14999961853028,0.0,0.0199999995529651,145148158927.0,2.42773175239563,318.6199951171875,
FIN,Finland,1998,5153545.0,0.0,17.6688289642334,25.5767765045166,63.36470413208008,10.716158866882324,11.626017570495604,36.63529586791992,16.880165100097656,34.97971725463867,8.110347747802734,19.75512886047364,0.000997994444333,0.0177661553025245,0.0,63.53889083862305,227.86587524414065,38.5363883972168,41.80833053588867,131.7442169189453,60.70277786254883,125.79058837890624,29.165626525878903,364.2444152832031,71.04143524169922,0.003588888561353,0.0638888850808143,70678.421875,44215.36328125,7477.646484375,8112.5380859375,25563.802734375,11778.8388671875,24408.5546875,5659.3330078125,13784.96484375,0.6963921785354614,12.397075653076172,1810.404296875,1540.68701171875,4629.82275390625,1711.4432373046875,2920.31982421875,8974.4052734375,4239.80029296875,1377.6923828125,1810.404296875,0.0,4734.60498046875,0.0,3.880823612213135,,-17.938154220581055,3.366703510284424,-1.6338789463043213,14.560935974121094,22.94559860229492,12.708148956298828,4.589841842651367,4.317487239837647,18.273988723754883,21.125703811645508,6.953637599945068,35.29410934448242,12.325928688049316,13.307659149169922,11.325060844421388,34.03223419189453,12.580230712890623,21.46626663208008,65.96776580810547,31.16531181335449,10.126943588256836,13.307659149169922,0.0,34.802452087402344,0.0,0.0285266004502773,9.329999923706056,7.940000057220459,23.86000061035156,8.819999694824219,15.050000190734863,46.25,21.850000381469727,7.099999904632568,9.329999923706056,0.0,24.39999961853028,0.0,0.0199999995529651,153138899026.0,2.378523111343384,250.17999267578125,
FIN,Finland,1999,5165516.0,0.0,17.444847106933594,25.570533752441406,64.41326141357422,10.931797981262209,10.05906581878662,35.58673477172852,18.08270835876465,36.036617279052734,7.405279636383057,17.5040283203125,0.0011153127998113,0.0385676249861717,0.0,61.565555572509766,227.3243408203125,38.58000183105469,35.499996185302734,125.5910873413086,63.81666564941406,127.17878723144533,26.13437461853028,357.1492004394531,61.77441787719727,0.0039361109957098,0.1361110955476761,69141.046875,44008.0625,7468.76025390625,6872.49755859375,24313.3671875,12354.3642578125,24620.732421875,5059.39306640625,11959.001953125,0.761997640132904,26.34995079040528,1618.4249267578125,1732.6439208984375,4890.12158203125,1846.8629150390625,2474.099365234375,8549.0009765625,4446.796875,1310.614501953125,1618.4249267578125,0.0,4102.2041015625,0.0,9.679574966430664,,-3.105712413787842,-1.9479268789291384,-0.2376498878002166,0.1131746768951416,-15.088698387145996,-4.526191711425781,5.12973165512085,1.10357928276062,-10.393231391906738,-13.171241760253906,9.674924850463867,113.04347229003906,-9.267016410827637,12.042638778686523,12.892538070678713,36.38721084594727,13.742437362670898,18.4096794128418,63.61279296875,33.08844757080078,9.752232551574709,12.042638778686523,0.0,30.52434539794922,0.0,0.0720253586769104,8.359999656677246,8.949999809265137,25.26000022888184,9.539999961853027,12.779999732971191,44.15999984741211,22.96999931335449,6.769999980926514,8.359999656677246,0.0,21.190000534057617,0.0,0.050000000745058,160063696383.0,2.2312941551208496,262.75,
FIN,Finland,2000,5176197.0,0.0,16.4512939453125,25.9126091003418,63.225563049316406,11.1156587600708,11.485773086547852,36.7744369506836,17.611780166625977,35.65861129760742,7.614537239074707,19.162656784057617,0.0012347598094493,0.0611112117767334,0.0,58.32722091674805,224.1629943847656,39.40999984741211,40.72222137451172,130.3818817138672,62.44166564941406,126.42577362060548,26.99695205688477,359.1098022460937,67.94021606445312,0.0043777776882052,0.2166666686534881,69377.1484375,43306.50390625,7613.69775390625,7867.20849609375,25188.740234375,12063.232421875,24424.451171875,5215.595703125,13125.5087890625,0.8457517623901367,41.85827255249024,1669.17919921875,1640.2003173828125,4657.85986328125,1957.0352783203125,2832.195068359375,8859.7861328125,4342.95654296875,1060.6241455078125,1669.17919921875,0.0,4516.82958984375,0.0,15.455362319946287,,-5.2599778175354,0.5489587783813477,-1.3906782865524292,2.1513686180114746,14.71048641204834,3.826764583587648,-2.1546130180358887,-0.5920905470848083,3.30054783821106,10.310672760009766,11.220892906188965,59.18368148803711,6.165800094604492,12.348149299621582,12.133770942687988,34.45762634277344,14.477633476257324,20.95183563232422,65.54237365722656,32.128055572509766,7.846219539642334,12.348149299621582,0.0,33.4143180847168,0.0,0.1143347099423408,8.640000343322754,8.489999771118164,24.11000061035156,10.130000114440918,14.65999984741211,45.86000061035156,22.479999542236328,5.489999771118164,8.640000343322754,0.0,23.3799991607666,0.0,0.0799999982118606,169209765102.0,2.122275829315185,246.82000732421875,17.270000457763672
FIN,Finland,2001,5187970.0,0.0,19.43353080749512,26.43868637084961,65.41832733154297,11.788729667663574,10.056785583496094,34.581668853759766,17.343671798706055,34.196067810058594,7.126595497131348,17.237998962402344,0.0013061255449429,0.0533112473785877,0.0,70.48916625976562,237.284912109375,42.7599983215332,36.47790145874024,125.43438720703124,62.90884399414063,124.0357437133789,25.84953689575196,366.8936462402344,62.52554702758789,0.0047375694848597,0.1933701783418655,70720.078125,45737.5234375,8242.14453125,7031.24755859375,24177.93359375,12125.9072265625,23908.337890625,4982.591796875,12052.025390625,0.9131836891174316,37.27280044555664,1594.072509765625,2045.1158447265625,5809.59423828125,2253.289794921875,2544.34765625,8540.9130859375,4389.0,1511.1883544921875,1594.072509765625,0.0,4151.9130859375,0.0,13.492753028869627,,20.85123443603516,2.167538642883301,5.853737831115723,8.50037670135498,-9.924965858459473,-3.34957242012024,1.3078901767730713,-1.890460968017578,-4.250169277191162,-7.827817440032959,8.81979751586914,-10.2564115524292,-5.414671897888184,11.10812759399414,14.251175880432127,40.48354721069336,15.70181369781494,17.73002052307129,59.51645660400391,30.584285736083984,10.530557632446287,11.10812759399414,0.0,28.93217086791992,0.0,0.0940228402614593,8.270000457763672,10.609999656677246,30.13999938964844,11.6899995803833,13.199999809265137,44.310001373291016,22.770000457763672,7.840000152587891,8.270000457763672,0.0,21.540000915527344,0.0,0.0700000002980232,173703951475.0,2.112177848815918,284.8900146484375,21.209999084472656
FIN,Finland,2002,5200548.0,0.0020403664093464,20.992019653320312,26.003751754760746,67.41654205322266,11.63739776611328,8.091714859008789,32.58345413208008,16.741350173950195,34.78712844848633,7.698892593383789,15.842105865478516,0.0014004313852638,0.048057697713375,0.0074444445781409,76.59111022949219,245.9748077392578,42.46000289916992,29.523286819458008,118.88341522216795,61.08219146728516,126.92369842529295,28.090044021606445,368.7680969238281,57.80122756958008,0.0051095890812575,0.1753424704074859,70909.46875,47297.86328125,8164.52490234375,5676.95703125,22859.787109375,11745.337890625,24405.83203125,5401.3623046875,11114.44921875,0.9825097322463988,33.71615219116211,1728.6639404296875,2443.97314453125,6305.10498046875,2236.302734375,2072.8583984375,8101.0693359375,4288.00927734375,1624.8287353515625,1728.6639404296875,0.0,3813.0595703125,0.0,11.537245750427246,,8.656569480895996,0.5108975768089294,3.6622233390808105,-0.7015795707702637,-18.394546508789062,-4.937648773193359,-2.0989797115325928,2.328324556350708,8.667501449584961,-7.93761682510376,8.746354103088379,-8.57142448425293,-4.724318981170654,11.999465942382812,16.964763641357422,43.76668548583984,15.52322483062744,14.388681411743164,56.23331832885742,29.76508331298828,11.27869701385498,11.999465942382812,0.0,26.468233108520508,0.0,0.0800854265689849,8.989999771118164,12.710000038146973,32.790000915527344,11.630000114440918,10.779999732971191,42.130001068115234,22.299999237060547,8.449999809265137,8.989999771118164,0.0,19.82999992370605,0.0,0.0599999986588954,176751491921.0,2.08636474609375,316.20001220703125,23.690000534057617
FIN,Finland,2003,5212958.0,0.0114156045019626,24.430885314941406,26.719331741333008,69.92288970947266,12.01194190979004,6.6790266036987305,30.077110290527344,15.829524040222168,33.480064392089844,7.490920066833496,14.247586250305176,0.0014603189192712,0.0647637918591499,0.0446666665375232,95.59249877929688,273.5923767089844,47.0,26.13351249694824,117.68489837646484,61.93732833862305,130.9998779296875,29.31026840209961,394.9277038574219,55.74756622314453,0.005713895894587,0.2534059882164001,75758.8515625,52483.1328125,9015.994140625,5013.18310546875,22575.455078125,11881.4169921875,25129.662109375,5622.5791015625,10694.037109375,1.0960947275161743,48.61078643798828,1799.3623046875,3692.72119140625,8150.8427734375,2656.841064453125,1839.646484375,8016.56201171875,4360.2880859375,1801.2806396484375,1799.3623046875,0.0,3656.2734375,0.0,17.264671325683594,500.0,24.80887031555176,7.093782424926758,11.227802276611328,10.692408561706545,-10.996663093566896,-0.693216860294342,1.955599069595337,3.211519718170166,4.343970775604248,-3.6700785160064697,12.43967342376709,45.312496185302734,-2.0536599159240723,11.129568099975586,22.840532302856445,50.415287017822266,16.433319091796875,11.378737449645996,49.584720611572266,26.96962547302246,11.141433715820312,11.129568099975586,0.0,22.61509132385254,0.0,0.1067869067192077,9.380000114440918,19.25,42.4900016784668,13.850000381469728,9.59000015258789,41.790000915527344,22.729999542236328,9.390000343322754,9.380000114440918,0.0,19.059999465942383,0.0,0.0900000035762786,180408462125.0,2.189075231552124,371.3800048828125,31.299999237060547
FIN,Finland,2004,5228147.0,0.0134068150073289,22.094518661499023,28.45351791381836,65.16300964355469,11.649351119995115,10.50681495666504,34.83698654174805,15.838016510009766,31.41914367675781,8.393196105957031,18.99897003173828,0.0016461330233141,0.0839060693979263,0.0521111115813255,85.87944793701172,253.28289794921875,45.28000259399414,40.83906555175781,135.40830993652344,61.560977935791016,122.12344360351562,32.62361526489258,393.25396728515625,73.84732818603516,0.0063983742147684,0.326135516166687,75218.609375,48446.015625,8660.8125,7811.38427734375,25899.865234375,11774.9130859375,23358.83984375,6239.99560546875,14124.9521484375,1.223832130432129,62.38071060180664,1996.88330078125,3155.993896484375,7170.80078125,2438.72265625,2882.474365234375,9248.0185546875,4345.7080078125,1576.084228515625,1996.88330078125,0.0,4902.310546875,0.0,22.952682495117188,16.666667938232422,-10.160892486572266,-0.4238083362579345,-7.423263549804687,-3.659569025039673,57.122467041015625,15.6758451461792,-0.065994881093502,-6.775910377502441,11.304391860961914,34.40043258666992,12.589421272277832,29.402145385742188,18.09975814819336,12.162161827087402,19.22180938720703,43.67428207397461,14.853216171264648,17.555917739868164,56.325721740722656,26.46784782409668,9.599254608154297,12.162161827087402,0.0,29.85787582397461,0.0,0.1397949755191803,10.4399995803833,16.5,37.4900016784668,12.75,15.06999969482422,48.34999847412109,22.71999931335449,8.239999771118164,10.4399995803833,0.0,25.6299991607666,0.0,0.1199999973177909,187633923914.0,2.095857620239258,325.3699951171875,27.93000030517578
FIN,Finland,2005,5246078.0,0.0,15.625177383422852,26.132646560668945,63.237525939941406,11.733988761901855,10.494531631469728,36.762474060058594,17.71751594543457,35.878360748291016,8.419036865234375,19.044958114624023,0.0020031277090311,0.1293863654136657,0.0,55.168888092041016,223.277084350586,41.43000030517578,37.05376434326172,129.79978942871094,62.55644989013672,126.67819213867188,29.72567367553711,357.54766845703125,67.24334716796875,0.007072580512613,0.4568333327770233,68155.234375,42560.76171875,7897.328125,7063.13623046875,24742.25390625,11924.4228515625,24147.21875,5666.26611328125,12817.8310546875,1.3481653928756714,87.08092498779297,1812.7828369140625,1239.0208740234375,4542.44091796875,2140.646728515625,2626.72412109375,8907.6064453125,4435.69482421875,1162.7734375,1812.7828369140625,0.0,4471.912109375,0.0,32.4051628112793,-100.0,-35.76008224487305,-9.079704284667969,-11.846758842468262,-8.502655029296875,-8.531172752380371,-3.4301645755767822,2.4432132244110107,3.729626655578613,-8.882957458496094,-8.624826431274414,11.435830116271973,41.21352767944336,-6.603981971740723,13.47789192199707,9.212018013000488,33.77267837524414,15.915533065795898,19.52947807312012,66.22732543945312,32.979026794433594,8.645124435424805,13.47789192199707,0.0,33.24829864501953,0.0,0.2409297227859497,9.510000228881836,6.5,23.82999992370605,11.229999542236328,13.779999732971191,46.72999954223633,23.270000457763672,6.099999904632568,9.510000228881836,0.0,23.459999084472656,0.0,0.1700000017881393,192990732516.0,1.8862718582153322,230.8699951171875,16.290000915527344
